id;translation;levelRequired;iconId;classType
88;Magic Spell Gun;27;88;8
89;Gold Spell Gun;33;89;8
90;Masterpiece Spell Gun;41;90;8
91;Brass Spell Gun;47;91;8
92;Dignified Spell Gun;53;92;8
93;Spell Gun of Shadows;58;93;8
94;Trainee Swordsman's Armour;15;94;2
95;Padded Armour;19;95;2
96;Quilted Armour;24;96;2
97;Leather Armour;27;97;2
98;Armour of Stamina;32;98;2
99;Studded Leather Armour;34;99;2
100;Reinforced Leather Armour;39;100;2
101;Scale Armour;41;101;2
102;Armour of Morale;46;102;2
103;Plate Armour;50;103;2
104;Golden Rivet Armour;55;104;2
105;Brigandine;57;105;2
106;Armour of Valour;62;106;2
107;Trainee Archer's Tunic;15;107;4
108;Lambskin Tunic;19;108;4
109;Velour Tunic;24;109;4
110;Goat Leather Tunic;27;110;4
111;Tunic of Evasion;32;111;4
112;Calfskin Tunic;34;112;4
113;Suede Tunic;39;113;4
114;Cow Leather Tunic;41;114;4
115;Eagle-Eyed Tunic;46;115;4
116;Peccary Tunic;50;116;4
117;Nubuck Tunic;55;117;4
118;Tuscany Tunic;57;118;4
119;Spirit Tunic;62;119;4
120;Trainee Sorcerer's Robe;15;120;8
121;Cotton Robe;19;121;8
122;Magic Cotton Robe;24;122;8
123;Linen Robe;27;123;8
124;Recovery Robe;32;124;8
125;Tweed Robe;34;125;8
126;Reinforced Linen Robe;39;126;8
127;Muslin Robe;41;127;8
128;Elemental Robe;46;128;8
129;Silk Robe;50;129;8
130;Chequered Robe;55;130;8
131;Herringbone Robe;57;131;8
132;Robe of Darkness;62;132;8
133;Old Adventurers' Cloak;20;189;1
134;Kovolt Mask (GM);0;134;0
135;Gladius;21;135;2
136;Walloon Sword;30;136;2
137;Viking Sword;37;137;2
138;Cutlass;43;138;2
139;Katzbalger;49;139;2
140;Knight's Sword;54;140;2
141;Slayer;63;141;2
142;Bow of Life;21;142;4
143;Flame Bow;30;143;4
144;Synthetic Bow;37;144;4
145;Double Bow;43;145;4
146;Wild Bow;49;146;4
147;Large Bow;54;147;4
148;Siege Bow;63;148;4
149;Magic Wand of Life;21;149;8
150;Magic Wand of Flame;30;150;8
151;Ice Wand;37;151;8
152;Loon's Wand;43;152;8
153;Magic Spell Wand;49;153;8
154;Holy Wand;54;154;8
155;Soul Wand;63;155;8
156;Combat Crossbow;21;156;2
157;Siege Crossbow;48;157;2
158;Highlander Dirk;21;158;4
159;Poignard Dagger;48;159;4
160;Normal Spell Gun;21;160;8
161;Bronze Spell Gun;48;161;8
162;Durable Armour;20;162;2
163;Hard Leather Armour;28;163;2
164;Victor's Armour;35;164;2
165;Guardian Armour;42;165;2
166;Knight's Armour;51;166;2
167;Stone Armour;58;167;2
168;Flash Tunic;20;168;4
169;Tunic of Nature;28;169;4
170;Sharkskin Tunic;35;170;4
171;Breath Tunic;42;171;4
172;Wind Tunic;51;172;4
173;Dryad Tunic;58;173;4
174;Beginner's Robe;20;174;8
175;Soft Robe;28;175;8
176;Robe of Clarity;35;176;8
177;Patterned Robe;42;177;8
178;Magic Robe;51;178;8
179;Robe of Origins;58;179;8
180;Amulet of Attack Level;10;180;0
181;Amulet of Defence Level;10;181;0
182;Amulet of Attack and Defence Levels;10;182;0
183;Amulet of Attack Power;10;183;0
184;Amulet of Defence;10;184;0
185;Lord Hatus' Gift Box;0;302;0
186;Smart Men's Hat (30 Days);20;821;14
187;Smart Men's Suit (30 Days);20;820;14
188;Smart Men's Suit (7 Days);20;820;14
189;Smart Men's Suit (Permanent);20;820;14
190;Smart Men's Hat (7 Days);20;821;14
191;Smart Men's Hat (Permanent);20;821;14
192;Samurai Bushtail;1;192;0
193;Starlight School Uniform (7 Days);20;193;14
194;Starlight School Uniform (30 Days);20;193;14
195;Starlight School Uniform (Permanent);20;193;14
196;Starlight Hairband (7 Days);20;196;14
197;Starlight Hairband (30 Days);20;196;14
198;Starlight Hairband (Permanent);20;196;14
199;Hatus' Dark Lance;88;350;2
200;Headband;1;200;15
201;Soft Hat;1;203;1
202;Leaves for Disguise;3;201;1
203;Mandra Ear Defenders;7;202;1
204;Hippo Hat;18;204;15
205;Smart Glasses;5;205;1
206;Kovolt Mask;14;206;1
207;Smart Glasses;5;207;1
208;Smart Glasses;5;208;1
209;Smart Glasses;5;209;1
210;Smart Glasses;5;210;1
211;Smart Glasses;5;211;1
212;Smart Glasses;5;212;1
213;Smart Glasses;5;213;1
214;Smart Glasses;5;214;1
215;Antler Hat;20;215;14
216;Plunger Hat;20;216;14
217;Head Gear;20;217;14
218;Feelers;20;218;14
219;Oracle's Headband;20;219;14
220;Funny Fish Hat;20;220;14
221;Beanie Hat;20;221;14
222;Water Buffalo Horn;20;222;14
223;Rectangular Glasses;20;223;14
224;Winking Mask;20;224;14
225;Bat Mask;20;225;14
226;Monocle;20;226;14
227;X Mask;20;227;14
228;Beard and Make-up;20;228;14
229;Smart Glasses;5;229;1
230;Rectangular Glasses;20;230;14
231;Rectangular Glasses;20;231;14
232;Rectangular Glasses;20;232;14
233;Rectangular Glasses;20;233;14
234;Rectangular Glasses;20;234;14
235;Rectangular Glasses;20;235;14
236;Rectangular Glasses;20;236;14
237;Rectangular Glasses;20;237;14
238;Rectangular Glasses;20;238;14
239;Monocle;20;239;14
240;Monocle;20;240;14
241;Monocle;20;241;14
242;Monocle;20;242;14
243;Monocle;20;243;14
244;Monocle;20;244;14
245;Monocle;20;245;14
246;Monocle;20;246;14
247;Monocle;20;247;14
248;Amulet for Blocking All Attacks;10;248;0
249;Amulet of Fire;10;249;0
250;Amulet of Water;10;250;0
251;Amulet of Light;10;251;0
252;Amulet of Shadow;10;252;0
253;Amulet for Increasing Dark Energy;10;253;0
254;Little Chick;0;254;10
255;Dancing Chicky;0;255;10
256;Grumbly Chicky;0;256;10
257;Amulet of Betting Protection (Weapon);1;257;0
258;Amulet of Betting Protection (Equipment);1;258;0
259;Amulet for Increasing Rarity;1;259;0
260;Amulet for Improving Fixed-Level Weapons;1;260;0
261;Amulet of Reinforced Equipment;1;261;0
262;Elvin's Sword;45;262;2
263;Glorious Sabre;65;263;2
264;Broken Elemental Sword;75;264;2
265;Red Bow;45;265;4
266;Bow of Peace;65;266;4
267;Majestic Bow;75;267;4
268;Red Sage Wand;45;268;8
269;Ghost Whisper Wand;65;269;8
270;Majestic Wand;75;270;8
271;Blue Robe of the Wise;55;271;8
272;Trial Robe;69;272;8
273;Solaris;3;804;10
274;Sellaim;1;274;10
275;Woondine;2;275;10
276;Eperial;3;276;10
277;Turik;4;277;10
278;Grown Sellaim;1;274;10
279;Grown Woondine;2;275;10
280;Grown Eperial;3;276;10
281;Grown Turik;4;277;10
282;Blessing Amulet;1;282;0
283;Protection Amulet;1;283;0
284;Amulet of Reinforcement;1;284;0
285;Pet Bead;0;285;0
286;Partner Bead;0;286;0
287;Specialist Card Holder;0;287;0
288;NosMall Inauguration Amulet;10;288;0
289;Scrammer;44;289;4
290;Kris;67;290;4
291;Winslet Crossbow;44;291;2
292;Balenty Crossbow;67;292;2
293;Plaz Spell Gun;44;293;8
294;Ray Spell Gun;67;294;8
295;Sentinel Look;55;295;4
296;Robe of Light;69;296;4
297;Brave Defender;55;297;2
298;Splendid Defender;69;298;2
299;Flamberge;70;299;2
300;Piercing Force Bow;70;300;4
301;Kai's Wand;70;301;8
302;Raid Box;0;302;0
303;Noble Orichalcum Necklace;62;303;0
304;Ancient Orichalcum Necklace;67;304;0
305;Noble Orichalcum Ring;63;305;0
306;Ancient Orichalcum Ring;69;306;0
307;Noble Orichalcum Bracelet;65;307;0
308;Ancient Orichalcum Bracelet;70;308;0
309;Ancient Crystal Necklace;43;309;0
310;Ancient Crystal Ring;44;310;0
311;Ancient Crystal Bracelet;45;311;0
312;Ancient Diamond Necklace;53;312;0
313;Ancient Diamond Ring;54;313;0
314;Ancient Diamond Bracelet;55;314;0
315;Flame Gloves;42;315;0
316;Storm Gloves;65;316;0
317;Divine Gloves;71;317;0
318;Death Gloves;56;318;0
319;Blaze Shoes;66;319;0
320;Wave Shoes;57;320;0
321;Sparkle Shoes;43;321;0
322;Shadow Shoes;71;322;0
323;Radal's Red Ring;74;323;0
324;Radal's Blue Ring;74;324;0
325;Insoluble Gloves;45;325;0
326;Guard's Sword;0;326;0
327;Regular Necklace;0;327;0
328;Rare Dagger;0;328;0
329;Rare Sword;0;329;0
330;Rare Wand;0;330;0
331;Hellhound Necklace;1;331;0
332;Phantom's Amulet;0;332;0
333;Sealed Jajamaru Specialist Card;0;333;0
334;Sealed Princess Sakura Bead;0;334;0
335;Sakura;1;335;0
336;NOS Event Box;0;336;0
337;Cat Hat;20;337;14
338;Donkey Hat;20;338;14
339;Cowboy Hat;20;339;14
340;Monkey Hat;20;340;14
341;Antelope Horn Hat;20;341;14
342;Morning Glory Hat;20;342;14
343;Penguin Hat;20;343;14
344;Old Gentleman's Hat;20;344;14
345;Big Ear Hairband;20;345;14
346;Flower Vase Hat;20;346;14
347;Red Mask;1;1211;0
348;Grasslin Fairy;1;348;0
349;Thronblade;85;349;2
350;Eglance;88;350;2
351;Darkscramer;85;351;4
352;Hero's Crossbow;85;352;2
353;Elemental Bow;85;353;4
354;Hazard Bow;88;354;4
355;Winged Spell Gun;85;355;8
356;Seraphim Wand;85;356;8
357;Taracen Wand;88;357;8
358;New Armour (Magical);0;358;8
359;New Armour (Distance);0;359;4
360;New Armour (Physical);0;360;2
361;Fierce Mask A;20;361;14
362;Fierce Mask B;20;362;14
363;Fierce Mask C;20;363;14
364;NotUse;20;364;0
365;Blinder5;20;365;0
366;Silence Mask A;20;366;14
367;Silence Mask B;20;367;14
368;Silence Mask C;20;368;14
369;Mask4;20;369;0
370;Mask5;20;370;0
371;Abyssal Eye Bandage A;20;371;14
372;Abyssal Eye Bandage B;20;372;14
373;Abyssal Eye Bandage B;20;373;14
374;Blinder2 4;20;374;0
375;Blinder2 5;20;375;0
376;Shining Battle Gauntlets;45;705;0
377;Shining Chain Gauntlets;45;706;0
378;Shining Fast Gloves;45;704;0
379;Shining Resistance Gloves;45;719;0
380;Shining Storm Gloves;70;316;0
381;Shining Flame Gloves;70;315;0
382;Shining Divine Gloves;70;317;0
383;Shining Death Gloves;70;318;0
384;Shining Protective Boots;45;713;0
385;Shining Heavy Metal Boots;45;715;0
386;Shining Wind Boots;45;714;0
387;Shining Steel Boots;45;712;0
388;Shining Wave Shoes;70;320;0
389;Shining Fire Shoes;70;319;0
390;Shining Sparkle Shoes;70;321;0
391;Shining Shadow Shoes;70;322;0
392;Treasure Chest (Level 1);0;392;0
393;Treasure Chest (Level 2);0;393;0
394;Treasure Chest (Level 3);0;394;0
395;Treasure Chest (Level 4);0;395;0
396;Treasure Chest (Level 5);0;396;0
397;Brown Bushi;1;397;0
398;Gladiator Bushi;1;398;0
399;Exterminator Bushi;1;399;0
400;Loopuster;71;400;2
401;Broken Sword;79;401;2
402;Bergarce;74;402;2
403;Seraphion;71;403;4
404;Caipe'ru;79;404;4
405;Eca'ra'cci;74;405;4
406;Mook'razue;71;406;8
407;Fair'losue;79;407;8
408;Renobi'r;74;408;8
409;Cai'lander;78;409;2
410;Suphi'rudin;78;410;4
411;Ridy'arce;78;411;8
412;Roob'raph's Gloves;76;412;0
413;Executioner Gauntlets;83;413;0
414;Hazerumble Shoes;77;414;0
415;Ku'ru'kelron Boots;85;415;0
416;Diareason Necklace;74;416;0
417;Rudiselrun's Necklace;77;417;0
418;Kedenoss Necklace;85;418;0
419;Diareason Ring;73;419;0
420;Rudiselrun's Ring;77;420;0
421;Kedenoss Ring;84;421;0
422;Diareason Bracelet;75;422;0
423;Rudiselrun's Bracelet;78;423;0
424;Kedenoss Bracelet;86;424;0
425;Azuris;3;425;10
426;Knight Helmet;20;426;14
427;Knight Mask;20;427;14
428;Wig;20;428;30
429;Spiky Hairstyle;20;429;30
430;Brown Bushi (Japan);1;397;0
431;Exterminator Bushi (Japan);1;399;0
432;Fierce Mask A (Japan);20;361;14
433;Fierce Mask B (Japan);20;362;14
434;Fierce Mask C (Japan);20;363;14
435;Abyssal Eye Bandage A (Japan);20;371;14
436;Abyssal Eye Bandage B (Japan);20;372;14
437;Abyssal Eye Bandage C (Japan);20;373;14
438;Silence Mask A (Japan);20;366;14
439;Silence Mask B (Japan);20;367;14
440;Silence Mask C (Japan);20;368;14
441;Colourful Wig;20;441;30
442;Rare Spiky Hairstyle;20;442;30
443;Brown Wig;20;428;14
444;Santa Bushi;1;444;0
445;Snowman;1;445;0
446;Panda Hat (7 Days);20;446;14
447;Sick Bushtail;1;447;0
448;New Year Lucky Pig;1;448;0
449;Lucky Rat;1;449;0
450;Asian Black Bear Costume (7 Days);20;450;14
451;Polar Bear Costume (7 Days);20;451;14
452;Panda Costume (7 Days);20;452;14
453;Teddy Bear Costume (7 Days);20;453;14
454;Asian Black Bear Hat (7 Days);20;454;14
455;Polar Bear Hat (7 Days);20;455;14
456;Teddy Bear Hat (7 Days);20;456;14
457;Rat Hat (Permanent);20;457;14
458;Hip-Hop Outfit (7 Days);20;458;14
459;Noire Black Sportswear (7 Days);20;459;14
460;Sunny Sportswear (7 Days);20;460;14
461;Coral Pink Sportswear (7 Days);20;461;14
462;Fire Sportswear (7 Days);20;462;14
463;Bluesky Sportswear (7 Days);20;463;14
464;Fashion Sportswear (7 Days);20;464;14
465;Hot Pink Sportswear (7 Days);20;465;14
466;Denim Clothing (7 Days);20;466;14
467;Green School Uniform (7 Days);20;467;14
468;Military Clothing (7 Days);20;468;14
469;Yellow School Uniform (7 Days);20;469;14
470;Forester Outfit (7 Days);20;470;14
471;Purple School Uniform (7 Days);20;471;14
472;Fire Clothing (7 Days);20;472;14
473;Casual cloth 4 for woman;20;473;14
474;Heavy Metal Clothes (7 Days);20;474;14
475;Casual cloth 5 for woman;20;475;14
476;Adventurer Clothing (7 Days);20;476;14
477;Casual cloth 6 for woman;20;477;14
478;Orange Hat (Permanent);20;478;14
479;Luxury Flowerpot Hat (Permanent);20;479;14
480;Nutshell Hat (Permanent);20;480;14
481;Blue Founder Hat (Permanent);20;481;14
482;Green Founder Hat (Permanent);20;482;14
483;Red Founder Hat (Permanent);20;483;14
484;Rat Hat (7 Days);20;457;14
485;Rat Hat (30 Days);20;457;14
486;Orange Hat (7 Days);20;478;14
487;Orange Hat (30 Days);20;478;14
488;Luxury Flowerpot Hat (7 Days);20;479;14
489;Luxury Flowerpot Hat (30 Days);20;479;14
490;Nutshell Hat (7 Days);20;480;14
491;Nutshell Hat (30 Days);20;480;14
492;Blue Founder Hat (7 Days);20;481;14
493;Blue Founder Hat (30 Days);20;481;14
494;Green Founder Hat (7 Days);20;482;14
495;Green Founder Hat (30 Days);20;482;14
496;Red Founder Hat (7 Days);20;483;14
497;Red Founder Hat (30 Day);20;483;14
498;Blessing Amulet (Double Use);1;498;0
499;Protection Amulet (Double Use);1;499;0
500;Simple Gold Necklace;9;500;0
501;Refined Gold Necklace;14;501;0
502;Silver Ring;13;502;0
503;Fashionable Bracelet;16;503;0
504;Ancient Mano Necklace;20;504;0
505;Ancient Mano Ring;21;505;0
506;Ancient Mano Bracelet;22;506;0
507;Noble Mano Necklace;23;507;0
508;Noble Mano Ring;24;508;0
509;Noble Mano Bracelet;25;509;0
510;Luxurious Mano Bracelet;26;510;0
511;Cat's Eye Necklace;30;511;0
512;Cat's Eye Ring;31;512;0
513;Cat's Eye Bracelet;32;513;0
514;Noble Cat's Eye Necklace;33;514;0
515;Noble Cat's Eye Ring;34;515;0
516;Noble Cat's Eye Bracelet;35;516;0
517;Luxurious Cat's Eye Necklace;36;517;0
518;Luxurious Cat's Eye Bracelet;37;518;0
519;Crystal Necklace;40;519;0
520;Crystal Ring;41;520;0
521;Crystal Bracelet;42;521;0
522;Noble Crystal Necklace;43;522;0
523;Noble Crystal Ring;44;523;0
524;Noble Crystal Bracelet;45;524;0
525;Luxurious Crystal Ring;46;525;0
526;Luxurious Crystal Bracelet;47;526;0
527;Diamond Necklace;50;527;0
528;Diamond Ring;51;528;0
529;Diamond Bracelet;52;529;0
530;Noble Diamond Necklace;53;530;0
531;Noble Diamond Ring;54;531;0
532;Noble Diamond Bracelet;55;532;0
533;Luxurious Diamond Necklace;56;533;0
534;Luxurious Diamond Ring;57;534;0
535;Luxurious Diamond Bracelet;58;535;0
536;Amulet of Strength;10;536;0
537;Amulet of Resolve;11;537;0
538;Egg Fairy;1;538;0
539;Baby Dander;1;539;0
540;Seedle;1;540;0
541;Pii;1;541;0
542;Weak Fire Vampie;1;542;0
543;Walker;1;543;0
544;Tired Pink Jelly;1;544;0
545;Vampie;1;545;0
546;Boing;1;546;0
547;Ayam (7 Days);20;547;14
548;Ayam (30 Days);20;547;14
549;Ayam (Permanent);20;547;14
550;Empress Coronet (7 Days);20;550;14
551;Empress Coronet (30 Days);20;550;14
552;Empress Coronet (Permanent);20;550;14
553;Flower Hairpin (7 Days);20;553;14
554;Flower Hairpin (30 Days);20;553;14
555;Flower Hairpin (Permanent);20;553;14
556;Hogeon (7 Days);20;556;14
557;Hogeon (30 Days);20;556;14
558;Hogeon (Permanent);20;556;14
559;Asian Hat (7 Days);20;559;14
560;Asian Hat (30 Days);20;559;14
561;Asian Hat (Permanent);20;559;14
562;Ebosi (7 Days);20;562;14
563;Ebosi (30 Days);20;562;14
564;Ebosi (Permanent);20;562;14
565;Full Shell (Weapon);0;565;0
566;Full Shell (Weapon);0;565;0
567;Full Shell (Weapon);0;565;0
568;Special Shell (Weapon);0;568;0
569;Special Shell (Weapon);0;568;0
570;Special Shell (Weapon);0;568;0
571;PvP Shell (Weapon);0;571;0
572;PvP Shell (Weapon);0;571;0
573;PvP Shell (Weapon);0;571;0
574;Perfect Shell (Weapon);0;574;0
575;Perfect Shell (Weapon);0;574;0
576;Perfect Shell (Weapon);0;574;0
577;Full Shell (Armour);0;577;0
578;Full Shell (Armour);0;577;0
579;Full Shell (Armour);0;577;0
580;Special Shell (Armour);0;580;0
581;Special Shell (Armour);0;580;0
582;Special Shell (Armour);0;580;0
583;PvP Shell (Armour);0;583;0
584;PvP Shell (Armour);0;583;0
585;PvP Shell (Armour);0;583;0
586;Perfect Shell (Armour);0;586;0
587;Perfect Shell (Armour);0;586;0
588;Perfect Shell (Armour);0;586;0
589;Half Shell (Weapon);0;589;0
590;Half Shell (Weapon);0;589;0
591;Half Shell (Weapon);0;589;0
592;Half Shell (Weapon);0;589;0
593;Half Shell (Weapon);0;589;0
594;Half Shell (Weapon);0;589;0
595;Half Shell (Weapon);0;589;0
596;Half Shell (Weapon);0;589;0
597;Half Shell (Weapon);0;589;0
598;Half Shell (Weapon);0;589;0
599;Half Shell (Armour);0;599;0
600;Asian Black Bear Costume (30 Days);20;450;14
601;Polar Bear Costume (30 Days);20;451;14
602;Panda Costume (30 Days);20;452;14
603;Teddy Bear Costume (30 Days);20;453;14
604;Hip-Hop Outfit (30 Days);20;458;14
605;Noire Black Sportswear (30 Days);20;459;14
606;Sunny Sportswear (30 Days);20;460;14
607;Coral Pink Sportswear (30 Days);20;461;14
608;Fire Sportswear (30 Days);20;462;14
609;Bluesky Sportswear (30 Days);20;463;14
610;Fashion Sportswear (30 Days);20;464;14
611;Hot Pink Sportswear (30 Days);20;465;14
612;Denim Clothing (30 Days);20;466;14
613;Green School Uniform (30 Days);20;467;14
614;Military Clothing (30 Days);20;468;14
615;Yellow School Uniform (30 Days);20;469;14
616;Forester Outfit (30 Days);20;470;14
617;Purple School Uniform (30 Days);20;471;14
618;Fire Clothing (30 Days);20;472;14
619;Casual cloth 4 for woman (30 days);20;473;14
620;Heavy Metal Clothes (30 Days);20;474;14
621;Casual cloth 5 for women (30 days);20;475;14
622;Adventurer Clothing (30 Days);20;476;14
623;Casual cloth 6 for women (30 days);20;477;14
624;Asian Black Bear Costume (Permanent);20;450;14
625;Polar Bear Costume (Permanent);20;451;14
626;Panda Costume (Permanent);20;452;14
627;Teddy Bear Costume (Permanent);20;453;14
628;Hiphop Outfit (Permanent);20;458;14
629;Noire Black Sportswear (Permanent);20;459;14
630;Sunny Sportswear (Permanent);20;460;14
631;Coral Pink Sportswear (Permanent);20;461;14
632;Fire Sportswear (Permanent);20;462;14
633;Bluesky Sportswear (Permanent);20;463;14
634;Fashion Sportswear (Permanent);20;464;14
635;Hot Pink Sportswear (Permanent);20;465;14
636;Denim Clothing (Permanent);20;466;14
637;Green School Uniform (Permanent);20;467;14
638;Military Clothing (Permanent);20;468;14
639;Yellow School Uniform (Permanent);20;469;14
640;Forester Outfit (Permanent);20;470;14
641;Purple School Uniform (Permanent);20;471;14
642;Fire Clothing (Permanent);20;472;14
643;Casual cloth 4 for woman (permanent);20;473;14
644;Heavy Metal Clothes (Permanent);20;474;14
645;Casual cloth 5 for woman (permanent);20;475;14
646;Adventurer Clothing (Permanent);20;476;14
647;Casual cloth 6 for woman (permanent);20;477;14
648;Panda Hat (30 Days);20;446;14
649;Asian Black Bear Hat (30 Days);20;454;14
650;Polar Bear Hat (30 Days);20;455;14
651;Teddy Bear Hat (30 Days);20;456;14
652;Panda Hat (Permanent);20;446;14
653;Asian Black Bear Hat (Permanent);20;454;14
654;Polar Bear Hat (Permanent);20;455;14
655;Teddy Bear Hat (Permanent);20;456;14
656;Half Shell (Armour);0;599;0
657;Half Shell (Armour);0;599;0
658;Half Shell (Armour);0;599;0
659;Half Shell (Armour);0;599;0
660;Half Shell (Armour);0;599;0
661;Half Shell (Armour);0;599;0
662;Half Shell (Armour);0;599;0
663;Half Shell (Armour);0;599;0
664;Half Shell (Armour);0;599;0
665;Spring Hanbok (7 Days);20;665;14
666;Spring Hanbok (30 Days);20;665;14
667;Spring Hanbok (Permanent);20;665;14
668;Rainbow Hanbok (7 Days);20;668;14
669;Rainbow Hanbok (30 Days);20;668;14
670;Rainbow Hanbok (Permanent);20;668;14
671;Summer Hanbok (7 Days);20;671;14
672;Summer Hanbok (30 Days);20;671;14
673;Summer Hanbok (Permanent);20;671;14
674;Kung Fu Chipao (7 Days);20;674;14
675;Kung Fu Chipao (30 Days);20;674;14
676;Kung Fu Chipao (Permanent);20;674;14
677;Emperor Chipao (7 Days);20;677;14
678;Emperor Chipao (30 Days);20;677;14
679;Emperor Chipao (Permanent);20;677;14
680;Dragon Chipao (7 Days);20;680;14
681;Dragon Chipao (30 Days);20;680;14
682;Dragon Chipao (Permanent);20;680;14
683;Moonlight Kimono (7 Days);20;683;14
684;Moonlight Kimono (30 Days);20;683;14
685;Moonlight Kimono (Permanent);20;683;14
686;Sunlight Kimono (7 Days);20;686;14
687;Sunlight Kimono (30 Days);20;686;14
688;Sunlight Kimono (Permanent);20;686;14
689;Dadami Kimono (7 Days);20;689;14
690;Dadami Kimono (30 Days);20;689;14
691;Dadami Kimono (Permanent);20;689;14
692;Fire Rose Costume (7 Days);20;692;14
693;Fire Rose Costume (30 Days);20;692;14
694;Fire Rose Costume (Permanent);20;692;14
695;Fresh Mint Costume (7 Days);20;695;14
696;Fresh Mint Costume (30 Days);20;695;14
697;Fresh Mint Costume (Permanent);20;695;14
698;Chocolate Costume (7 Days);20;698;14
699;Chocolate Costume (30 Days);20;698;14
700;Light Gloves;22;700;0
701;Silk Gloves;27;701;0
702;Magic Gloves;34;702;0
703;Light Gauntlets;39;703;0
704;Fast Gloves;43;704;0
705;Battle Gauntlets;48;705;0
706;Chain Gauntlets;52;706;0
707;Flash Gloves;57;707;0
708;Light Boots;24;708;0
709;Fast Shoes;26;709;0
710;Chain Boots;33;710;0
711;Leather Boots;38;711;0
712;Steel Boots;42;712;0
713;Protective Boots;47;713;0
714;Wind Boots;51;714;0
715;Heavy Metal Boots;56;715;0
716;Oven Mitts;17;716;0
717;Shining Gloves;25;717;0
718;Wind Gloves;30;718;0
719;Gloves of Resistance;54;719;0
720;Shadow Gloves;61;720;0
721;Black Shoes;18;721;0
722;Water Shoes;30;722;0
723;Punk Boots;40;723;0
724;Flame Boots;49;724;0
725;Deep Sea Boots;60;725;0
726;Chocolate Costume (Permanent);20;698;14
727;Azalea Hanbok (7 Days);20;727;14
728;Azalea Hanbok (30 Days);20;727;14
729;Azalea Hanbok (Permanent);20;727;14
730;Crocus Hanbok (7 Days);20;730;14
731;Crocus Hanbok (30 Days);20;730;14
732;Crocus Hanbok (Permanent);20;730;14
733;Rose Hanbok (7 Days);20;733;14
734;Rose Hanbok (30 Days);20;733;14
735;Rose Hanbok (Permanent);20;733;14
736;Lavender Chipao (7 Days);20;736;14
737;Lavender Chipao (30 Days);20;736;14
738;Lavender Chipao (Permanent);20;736;14
739;Phoenix Chipao (7 Days);20;739;14
740;Phoenix Chipao (30 Days);20;739;14
741;Phoenix Chipao (Permanent);20;739;14
742;Black Chipao (7 Days);20;742;14
743;Black Chipao (30 Days);20;742;14
744;Black Chipao (Permanent);20;742;14
